Rk,Player,Age,Team,Lg,WAR,AB,R,H,2B,3B,HR,RBI,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Player-additional
591,Esteury Ruiz,26,LAD,NL,-0.2,21,2,4,0,0,1,2,8,0.19,0.261,0.333,0.594,66,0.304,61,7,7/H9,ruizes01
592,Ali Sánchez,28,2TM,AL,-0.2,23,2,5,2,0,0,0,6,0.217,0.217,0.304,0.522,42,0.219,27,7,2/H13,sanchal04
592,Ali Sánchez,28,TOR,AL,-0.2,21,2,5,2,0,0,0,5,0.238,0.238,0.333,0.571,56,0.24,42,7,/213H,sanchal04
592,Ali Sánchez,28,BOS,AL,0,2,0,0,0,0,0,0,1,0,0,0,0,-100,0,-126,0,/2H,sanchal04
593,Chadwick Tromp,30,2TM,2LG,0.1,21,2,3,1,0,1,1,6,0.143,0.182,0.333,0.515,41,0.261,62,7,/2,trompch01
593,Chadwick Tromp,30,ATL,NL,0,5,0,0,0,0,0,0,2,0,0.167,0,0.167,-47,0.116,-41,0,/2,trompch01
593,Chadwick Tromp,30,BAL,AL,0.1,16,2,3,1,0,1,1,4,0.188,0.188,0.438,0.625,69,0.315,102,7,/2,trompch01
594,Bobby Dalbec,30,CHW,AL,0,18,2,4,1,0,0,1,6,0.222,0.333,0.278,0.611,75,0.279,74,5,/36H5,dalbebo01
595,Luis Guillorme*,30,HOU,AL,-0.2,20,2,3,0,0,0,0,8,0.15,0.19,0.15,0.34,-3,0.16,-15,3,/45H,guilllu01
596,Keston Hiura,28,COL,NL,0,18,3,4,1,0,0,1,7,0.222,0.333,0.278,0.611,66,0.292,70,5,/3,hiurake01
597,Billy McKinney*,30,TEX,AL,-0.1,20,4,4,1,0,0,1,1,0.2,0.238,0.25,0.488,45,0.261,73,5,/97DH,mckinbi01
598,José Azócar,29,2TM,NL,0,19,5,5,0,0,0,1,1,0.263,0.333,0.263,0.596,73,0.288,74,5,/H978D,azocajo01
598,José Azócar,29,NYM,NL,0,18,5,5,0,0,0,1,1,0.278,0.35,0.278,0.628,83,0.302,84,5,/H789,azocajo01
598,José Azócar,29,ATL,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,-100,0,-117,0,/H9D,azocajo01
599,Manuel Margot,30,DET,AL,-0.1,19,1,6,0,0,0,3,6,0.316,0.3,0.316,0.616,72,0.262,60,6,/9H,margoma01
600,Connor Kaiser,28,ARI,NL,-0.3,18,1,2,1,0,0,2,5,0.111,0.158,0.167,0.325,-10,0.15,-22,3,/4H,kaiseco01
601,Michael Siani*,25,STL,NL,-0.1,17,4,4,0,0,0,0,7,0.235,0.316,0.235,0.551,60,0.263,63,4,8/H,sianimi01
602,Akil Baddoo*,26,DET,AL,0.2,17,0,2,1,0,0,1,5,0.118,0.167,0.176,0.343,-4,0.17,-17,3,/798H,baddoak01
603,Blake Sabol*,27,BOS,AL,-0.2,16,2,2,1,0,0,1,7,0.125,0.167,0.188,0.354,-1,0.156,-17,3,/2DH,sabolbl01
604,Drew Avans*,29,2TM,2LG,-0.4,17,1,2,0,0,0,1,6,0.118,0.111,0.118,0.229,-36,0.112,-58,2,/789H,avansdr01
604,Drew Avans*,29,ATH,AL,-0.3,15,1,2,0,0,0,0,5,0.133,0.133,0.133,0.267,-25,0.135,-44,2,/789H,avansdr01
604,Drew Avans*,29,MIL,NL,-0.1,2,0,0,0,0,0,1,1,0,0,0,0,-100,0,-126,0,/7,avansdr01
605,CJ Alexander*,28,ATH,AL,-0.2,17,0,3,0,0,0,0,8,0.176,0.176,0.176,0.353,-1,0.157,-17,3,/35H79,alexacj01
606,Rafael Flores,24,PIT,NL,0,15,0,3,2,0,0,0,7,0.2,0.294,0.333,0.627,75,0.282,73,5,/32H,florera03
607,Owen Miller,28,COL,NL,0,14,0,2,0,0,0,1,4,0.143,0.294,0.143,0.437,22,0.245,27,2,/4H5D,milleow01
608,Gage Workman*,25,2TM,2LG,-0.3,16,0,3,1,0,0,2,7,0.188,0.235,0.25,0.485,41,0.229,35,4,/56HD,workmga01
608,Gage Workman*,25,CHC,NL,-0.2,14,0,3,1,0,0,2,6,0.214,0.267,0.286,0.552,61,0.26,56,4,/56DH,workmga01
608,Gage Workman*,25,CHW,AL,-0.1,2,0,0,0,0,0,0,1,0,0,0,0,-100,0,-126,0,/56H,workmga01
609,Tirso Ornelas*,25,SDP,NL,-0.3,14,0,1,0,0,0,1,2,0.071,0.188,0.071,0.259,-24,0.143,-26,1,/7H8D,ornelti01
610,César Salazar*,29,HOU,AL,-0.1,13,0,3,0,0,0,1,2,0.231,0.375,0.231,0.606,75,0.291,81,3,/2HD1,salazce01
611,Jack Winkler,26,MIA,NL,-0.2,16,2,4,2,0,0,0,4,0.25,0.25,0.375,0.625,71,0.284,63,6,/4H365,winklja01
612,Tucker Barnhart*,34,TEX,AL,0,13,0,3,0,0,0,0,4,0.231,0.333,0.231,0.564,72,0.271,81,3,/21,barnhtu01
613,Jacob Hurtubise*,27,CIN,NL,-0.1,12,3,1,0,0,0,0,6,0.083,0.267,0.083,0.35,2,0.204,10,1,/H79,hurtuja01
614,Brian Navarreto,30,MIA,NL,0.2,14,3,4,2,0,1,5,3,0.286,0.267,0.643,0.91,142,0.362,128,9,/2,navarbr01
615,Ryan Vilade,26,2TM,NL,-0.1,13,1,1,0,0,0,0,5,0.077,0.2,0.077,0.277,-17,0.153,-15,1,/97HD,viladry01
615,Ryan Vilade,26,STL,NL,-0.1,13,1,1,0,0,0,0,5,0.077,0.2,0.077,0.277,-17,0.153,-15,1,/9H7D,viladry01
615,Ryan Vilade,26,CIN,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/7,viladry01
616,Greg Allen#,32,BAL,AL,-0.4,14,1,0,0,0,0,0,5,0,0,0,0,-100,-0.035,-127,0,/87H,allengr01
617,Chad Stevens,26,LAA,AL,-0.2,13,1,2,0,0,0,0,7,0.154,0.154,0.154,0.308,-14,0.099,-41,2,/45,stevech02
618,Tyler Black*,24,MIL,NL,0.1,8,1,2,1,0,0,1,1,0.25,0.538,0.375,0.913,163,0.395,181,3,/H379,blackty01
619,Will Brennan*,27,CLE,AL,-0.2,11,0,1,0,0,0,0,1,0.091,0.231,0.091,0.322,-5,0.131,-7,1,/98H,brennwi02
620,Corey Julks,29,CHW,AL,0.1,12,2,3,2,0,0,1,3,0.25,0.231,0.417,0.647,76,0.251,54,5,/7DH,julksco01
621,Kevin Alcántara,22,CHC,NL,0.1,11,2,4,0,0,0,1,4,0.364,0.417,0.364,0.78,130,0.379,137,4,/8H7D9,alcanke01
622,Sandy León#,36,ATL,NL,-0.1,12,1,1,0,0,1,3,4,0.083,0.083,0.333,0.417,10,0.169,-4,4,/2,leonsa01
623,Vimael Machín*,31,BAL,AL,0.1,11,1,1,0,0,1,1,2,0.091,0.167,0.364,0.53,44,0.225,37,4,/5,machivi01
624,Tristan Peters*,25,TBR,AL,-0.4,12,0,0,0,0,0,0,7,0,0,0,0,-100,0,-129,0,/8,petertr01
625,Bryan Ramos,23,CHW,AL,0.1,12,1,2,2,0,0,2,4,0.167,0.167,0.333,0.5,35,0.206,21,4,/5H,ramosbr01
626,Nick Solak,30,PIT,NL,-0.5,11,0,1,0,0,0,0,2,0.091,0.091,0.091,0.182,-49,0.073,-75,1,/347H,solakni01
627,Nick Ahmed,35,TEX,AL,0.1,9,1,0,0,0,0,0,3,0,0.1,0,0.1,-66,0.182,-1,0,/6,ahmedni01
628,Will Banfield,25,CIN,NL,-0.2,10,0,1,0,0,0,0,6,0.1,0.1,0.1,0.2,-45,0.09,-70,1,/2,banfiwi01
629,Coco Montes,28,TBR,AL,0.1,10,0,2,0,0,0,1,3,0.2,0.2,0.2,0.4,13,0.178,0,2,/457,monteco01
630,Omar Narváez*,33,CHW,AL,0,7,1,2,0,0,0,3,1,0.286,0.4,0.286,0.686,98,0.305,93,2,/2,narvaom01
631,Rhylan Thomas*,25,SEA,AL,0,8,2,1,1,0,0,2,0,0.125,0.2,0.25,0.45,30,0.282,85,2,/97,thomarh01
632,Jonathan Ornelas,25,2TM,2LG,0.1,9,1,2,0,0,0,0,3,0.222,0.3,0.222,0.522,55,0.229,45,2,/645,orneljo01
632,Jonathan Ornelas,25,TEX,AL,0,5,0,0,0,0,0,0,3,0,0.167,0,0.167,-44,0.114,-34,0,/64,orneljo01
632,Jonathan Ornelas,25,ATL,NL,0.1,4,1,2,0,0,0,0,0,0.5,0.5,0.5,1,184,0.402,160,2,/65,orneljo01
633,J.D. Davis,32,LAA,AL,-0.2,9,0,1,0,0,0,0,3,0.111,0.111,0.111,0.222,-38,0.099,-59,1,/3H5,davisjd01
634,Justin Foscue,26,TEX,AL,-0.1,9,0,1,1,0,0,2,3,0.111,0.111,0.222,0.333,-5,0.138,-17,2,/3DH,foscuju01
635,Jhostynxon García,22,BOS,AL,0,7,0,1,1,0,0,0,5,0.143,0.333,0.286,0.619,76,0.29,81,2,/79DH,garcijh01
636,Logan Porter,29,SFG,NL,0,7,2,1,0,0,0,1,2,0.143,0.333,0.143,0.476,44,0.258,64,1,/21,portelo01
637,Jon Singleton*,33,HOU,AL,-0.1,9,0,1,0,0,0,0,1,0.111,0.111,0.111,0.222,-38,0.099,-59,1,/D3H,singljo02
638,Brett Sullivan*,31,PIT,NL,0,6,1,1,0,0,0,2,3,0.167,0.333,0.167,0.5,46,0.258,56,1,/2,sullibr01
639,Samad Taylor,26,SEA,AL,-0.1,8,1,1,0,0,0,0,1,0.125,0.125,0.125,0.25,-27,0.099,-68,1,/98H,taylosa04
640,Donovan Walton*,31,PHI,NL,-0.1,8,1,1,0,0,0,1,1,0.125,0.125,0.125,0.25,-31,0.113,-70,1,/4,waltodo01
641,Dairon Blanco,32,KCR,AL,0,6,2,1,1,0,0,1,2,0.167,0.167,0.333,0.5,35,0.313,144,2,/H78,blancda02
642,Harry Ford,22,SEA,AL,0,6,1,1,0,0,0,1,3,0.167,0.25,0.167,0.417,25,0.201,26,1,/2HD,fordha01
643,Petey Halpin*,23,CLE,AL,0.1,6,5,2,0,0,0,0,2,0.333,0.5,0.333,0.833,140,0.382,147,2,/8H7,halpipe01
644,Carter Kieboom,27,LAA,AL,-0.2,8,0,2,0,0,0,1,1,0.25,0.25,0.25,0.5,40,0.222,30,2,/3H,kieboca01
645,Cal Stevenson*,28,PHI,NL,-0.2,8,0,2,0,0,0,1,2,0.25,0.25,0.25,0.5,38,0.213,20,2,/8H,steveca01
646,Eddie Rosario*,33,2TM,NL,0,8,1,1,0,0,0,0,2,0.125,0.125,0.125,0.25,-29,0.113,-43,1,/DH9,rosared01
646,Eddie Rosario*,33,LAD,NL,0,4,0,1,0,0,0,0,0,0.25,0.25,0.25,0.5,42,0.225,36,1,/D,rosared01
646,Eddie Rosario*,33,ATL,NL,0,4,1,0,0,0,0,0,2,0,0,0,0,-100,0,-121,0,/H9,rosared01
647,Rob Brantly*,35,MIA,NL,0,7,0,3,0,0,0,1,1,0.429,0.429,0.429,0.857,140,0.372,136,3,/2,brantro01
648,Tsung-Che Cheng*,23,PIT,NL,0,7,0,0,0,0,0,0,3,0,0,0,0,-100,0.057,-35,0,/64,chengts01
649,Dom Nuñez*,30,CLE,AL,0,7,2,2,0,0,0,0,4,0.286,0.286,0.286,0.571,60,0.226,34,2,/2,nunezdo01
650,Steward Berroa#,26,MIL,NL,0.2,5,0,0,0,0,0,0,2,0,0.167,0,0.167,-47,0.308,64,0,/8,berrost01
651,Tyler Callihan*,25,CIN,NL,-0.2,6,0,1,0,0,0,1,1,0.167,0.167,0.167,0.333,-9,0.15,-27,1,/74,callity01
652,Billy Cook,26,PIT,NL,0,6,1,2,0,0,0,0,1,0.333,0.333,0.333,0.667,87,0.3,86,2,/9H38,cookbi01
653,César Prieto*,26,STL,NL,-0.2,6,0,1,0,0,0,0,5,0.167,0.167,0.167,0.333,-5,0.134,-27,1,/4HD,prietce01
654,Jordyn Adams,25,BAL,AL,-0.1,5,1,0,0,0,0,0,2,0,0,0,0,-100,0,-125,0,/89H,adamsjo03
655,Sergio Alcántara#,28,SFG,NL,-0.1,4,0,0,0,0,0,0,2,0,0,0,0,-100,0,-117,0,/56,alcanse01
656,Kenedy Corona,25,HOU,AL,0,2,0,0,0,0,0,0,1,0,0.5,0,0.5,58,0.343,118,0,/8H,coronke01
657,Aramis Garcia,32,ARI,NL,-0.1,4,0,0,0,0,0,0,3,0,0,0,0,-100,0,-126,0,/2,garciar01
658,Brewer Hicklen,29,DET,AL,0.1,3,2,2,0,0,0,0,1,0.667,0.75,0.667,1.417,301,0.653,302,2,/8,hicklbr01
659,Trey Lipscomb,25,WSN,NL,0.1,4,1,2,0,0,0,0,1,0.5,0.5,0.5,1,187,0.426,179,2,/356H,lipsctr01
660,Drew Romo#,23,COL,NL,-0.1,3,0,0,0,0,0,0,3,0,0,0,0,-100,0,-134,0,/H2D,romodr01
661,CJ Stubbs,28,WSN,NL,0.1,3,0,0,0,0,0,0,0,0,0,0,0,-100,0,-120,0,/2,stubbcj01
662,David Bañuelos,28,BAL,AL,0,1,0,0,0,0,0,0,1,0,0.5,0,0.5,61,0.358,135,0,/DH,banueda01
663,Justin Dean,28,LAD,NL,0,2,0,0,0,0,0,0,1,0,0,0,0,-100,0.122,-126,0,8/H,deanju01
664,Greg Jones#,27,CHW,AL,0,2,0,0,0,0,0,0,2,0,0,0,0,-100,0.122,-122,0,/H9,jonesgr02
665,Chuckie Robinson,30,LAD,NL,0,1,1,0,0,0,0,0,0,0,0,0,0,-100,0,-333,0,/2,robinch04
666,Trevor Rogers*,27,BAL,AL,0,2,0,0,0,0,0,0,2,0,0,0,0,-100,0,-122,0,1,rogertr01
667,Tyler Alexander,30,CHW,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,-100,0,-136,0,1,alexaty01
668,Jack Leiter,25,TEX,AL,0,1,0,0,0,0,0,0,1,0,0,0,0,-100,0,-127,0,1/H,leiteja01
669,Ryne Nelson,27,ARI,NL,0.1,1,1,1,0,0,0,1,0,1,1,1,2,459,0.901,500,1,1/H,nelsory01
670,Shinnosuke Ogasawara*,27,WSN,NL,0,1,0,0,0,0,0,0,1,0,0,0,0,-100,0,-117,0,1,ogasash01
671,Colin Rea,34,CHC,NL,0,1,0,0,0,0,0,0,1,0,0,0,0,-100,0,-108,0,1,reaco01
672,Garrett Stubbs*,32,PHI,NL,0,1,2,0,0,0,0,0,0,0,0,0,0,-100,0,-125,0,/DH2,stubbga01
673,Terrin Vavra*,28,BAL,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,-100,0,-136,0,/4H,vavrate01
674,Bryan Abreu,28,HOU,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,abreubr01
675,Zach Agnos,24,COL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,agnosza01
676,Keegan Akin*,30,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,akinke01
677,Elvis Alvarado,26,ATH,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,alvarel01
678,Shawn Armstrong,34,TEX,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,armstsh01
679,Luinder Avila,23,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,avilalu02
680,Kyle Backhus*,27,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,backhky01
681,Bryan Baker,30,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,bakerbr01
682,Anthony Banda*,31,LAD,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,bandaan01
683,Félix Bautista,30,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,bautife01
684,Brennan Bernardino*,33,BOS,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,bernabr01
685,Jake Bird,29,COL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,birdja01
686,Hayden Birdsong,23,SFG,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,birdsha01
687,Matt Bowman,34,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,bowmama01
688,John Brebbia*,35,DET,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,brebbjo01
689,Yennier Cano,31,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,canoye01
690,José Castillo*,29,SEA,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,castijo03
691,Cade Cavalli,26,WSN,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,cavalca01
692,Aroldis Chapman*,37,BOS,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,chapmar01
693,Angel Chivilli,22,COL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,chivian01
694,Taylor Clarke,32,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,clarkta01
695,Emmanuel Clase,27,CLE,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,claseem01
696,Steven Cruz,26,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,cruzst01
697,John Curtiss,32,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,curtijo02
698,Luis Curvelo,24,TEX,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,curvelu01
699,Enyel De Los Santos,29,HOU,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,delosen01
700,Yerry De los Santos,27,NYY,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,delosye01
701,Edwin Díaz,31,NYM,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,diazed04
702,Seranthony Domínguez,30,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,dominse01
703,Jhoan Duran,27,MIN,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,duranjh01
704,Dietrich Enns*,34,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,ennsdi01
705,Lucas Erceg*,30,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,erceglu01
706,Carlos Estévez,32,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,estevca01
707,Tyler Ferguson,31,ATH,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,ferguty01
708,Jose A. Ferrer*,25,WSN,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,ferrejo01
709,Matt Festa,32,CLE,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,festama01
710,Kody Funderburk*,28,MIN,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,fundeko01
711,Brandyn Garcia*,25,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,garcibr02
712,Robert Garcia,29,TEX,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,garciro04
713,Yimi García,34,TOR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,garciyi01
714,Josh Hader*,31,HOU,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,haderjo01
715,Seth Halvorsen,25,COL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,halvose01
716,Emerson Hancock,26,SEA,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,hancoem01
717,Ryan Helsley,30,STL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,helslry01
718,Tim Herrin*,28,CLE,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,herriti01
719,Jeff Hoffman,32,TOR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,hoffmje02
720,Drey Jameson,27,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,jamesdr01
721,Kenley Jansen#,37,LAA,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,janseke01
722,Griffin Jax,30,MIN,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,jaxgr01
723,Tommy Kahnle,35,DET,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,kahnlto01
724,Kevin Kelly,27,TBR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,kellyke02
725,Michael Kelly,32,ATH,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,kellymi03
726,Andrew Kittredge,35,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,kittran01
727,Jordan Leasure,26,CHW,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,leasujo01
728,Casey Legumina,28,SEA,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,legumca01
729,Sam Long*,29,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,longsa01
730,Daniel Lynch IV*,28,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,lynchda02
731,Joe Mantiply,34,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,mantijo01
732,Justin Martínez,23,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,martiju01
733,Phil Maton,32,STL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,matonph01
734,Tyler Matzek*,34,NYY,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,matzety01
735,Juan Mejia,24,COL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,mejiaju01
736,Shelby Miller,34,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,millesh01
737,Hoby Milner*,34,TEX,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,milneho01
738,Juan Morillo,26,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,morilju02
739,Kaleb Ort,33,HOU,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,ortka01
740,Tyler Owens,24,DET,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,owensty01
741,Andre Pallante,26,STL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,pallaan01
742,Cionel Pérez,29,BAL,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,perezci01
743,Konnor Pilkington*,27,WSN,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,pilkiko01
744,Zach Pop,28,SEA,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,popza01
745,PJ Poulin,28,WSN,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,poulipj01
746,A.J. Puk*,30,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,pukaj01
747,Trevor Richards,32,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,richatr01
748,Tyler Rogers,34,SFG,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,rogerty01
749,Jackson Rutledge,26,WSN,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,rutleja01
750,Andrew Saalfrank*,27,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,saalfan01
751,Nick Sandlin,28,TOR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,sandlni01
752,John Schreiber,31,KCR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,schrejo01
753,Tanner Scott,30,LAD,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,scottta01
754,Connor Seabold,29,TBR,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/1,seaboco01
755,Bennett Sousa*,30,HOU,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,sousabe01
756,Ryne Stanek,33,NYM,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,stanery01
757,Ryan Thompson,33,ARI,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,thompry02
758,Trent Thornton,31,SEA,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,thorntr01
759,Victor Vodnik,25,COL,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,vodnivi01
760,Ryan Walker,29,SFG,NL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,walkery01
761,Chad Wallach,33,LAA,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,/2,wallach01
762,Garrett Whitlock,29,BOS,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,whitlga01
763,Bryse Wilson,27,CHW,AL,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,wilsobr02
,MLB Average,,,,,,,,,,,,,0.245,0.315,0.404,0.719,100,0.319,100,,,-9999
